Test,TestId,Type,Item,Message,Data,Path
UNKFILE,1,"Test success","","Unknown files completed successfully",,"",
UNKJSON,1,"Test success","","Unknown JSON completed successfully",,"",
UNLINK,1,"Test success","","Unlinked Items completed successfully",,"",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/advanced_minecart.json to `minecraft:amethyst_shard`","/recipes/minere/advanced_minecart.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/advanced_minecart.json to `minecraft:minecart`","/recipes/minere/advanced_minecart.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/auto_miner.json to `minecraft:blast_furnace`","/recipes/minere/auto_miner.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/auto_miner.json to `minecraft:chest_minecart`","/recipes/minere/auto_miner.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/auto_miner.json to `minecraft:hopper_minecart`","/recipes/minere/auto_miner.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/auto_miner.json to `minecraft:piston`","/recipes/minere/auto_miner.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/auto_miner.json to `minecraft:redstone`","/recipes/minere/auto_miner.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/copper_drill.json to `minecraft:copper_ingot`","/recipes/minere/copper_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/copper_drill.json to `minecraft:stick`","/recipes/minere/copper_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/copper_rail.json to `minecraft:copper_ingot`","/recipes/minere/copper_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/copper_rail.json to `minecraft:stick`","/recipes/minere/copper_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/diamond_drill.json to `minecraft:diamond`","/recipes/minere/diamond_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/diamond_drill.json to `minecraft:iron_ingot`","/recipes/minere/diamond_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/diamond_rail.json to `minecraft:diamond`","/recipes/minere/diamond_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/diamond_rail.json to `minecraft:stick`","/recipes/minere/diamond_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/emerald_rail.json to `minecraft:emerald`","/recipes/minere/emerald_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/emerald_rail.json to `minecraft:stick`","/recipes/minere/emerald_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/gold_drill.json to `minecraft:gold_ingot`","/recipes/minere/gold_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/gold_drill.json to `minecraft:stick`","/recipes/minere/gold_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/golden_rail.json to `minecraft:gold_ingot`","/recipes/minere/golden_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/golden_rail.json to `minecraft:stick`","/recipes/minere/golden_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/iron_drill.json to `minecraft:iron_ingot`","/recipes/minere/iron_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/iron_rail.json to `minecraft:iron_ingot`","/recipes/minere/iron_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/iron_rail.json to `minecraft:stick`","/recipes/minere/iron_rail.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/stone_drill.json to `minecraft:cobblestone`","/recipes/minere/stone_drill.json",
UNLINK,323,"Warning","","Link to item type is not found in this pack","/recipes/minere/stone_drill.json to `minecraft:stick`","/recipes/minere/stone_drill.json",
VALFILE,2,"Unknown","","No applicable items found for test Valid files (VALFILE)",,"",
VSCODEFILE,2,"Unknown","","No applicable items found for test VSCode Files (VSCODEFILE)",,"",
WORLD,2,"Unknown","","No applicable items found for test World Validation (WORLD)",,"",
WORLDDATA,2,"Unknown","","No applicable items found for test World Data Validation (WORLDDATA)",,"",
WPACKREFS,1,"Test success","","World Pack References completed successfully",,"",
